Product_name,offer_price,Original_price,Product_URL
EDDY HAGER,Rs.498,Rs.2599,https://www.flipkart.com/eddy-hager-800-digital-army-green-sports-watch-men/p/itmf9hxbyqgrhb8d?pid=WATF9HHZF6GEXQ8G&lid=LSTWATF9HHZF6GEXQ8GZS8KEQ&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_23&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATF9HHZF6GEXQ8G.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Daniel Jubile,Rs.217,Rs.1499,https://www.flipkart.com/daniel-jubile-bracelet-flower-stone-silver-21st-century-analog-watch-women/p/itm6c3ab8cbaf17d?pid=WATFPEUY3ZVQ3XVN&lid=LSTWATFPEUY3ZVQ3XVNJS1OLU&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_24&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=en_5jXLYf4yLUJ1kyLHsHJL11JzNnTBO8m4K35A1ys3Ohwb0TArUXAsjNtYWwX5qxTuntuDuv5QplFdijFolw4GYQ%3D%3D&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
ANALOGUE,Rs.265,Rs.1499,https://www.flipkart.com/analogue-anlg-428-blue-blu-analog-watch-boys/p/itmb6e22690a1daf?pid=WATFZ9HCPPKJX2DW&lid=LSTWATFZ9HCPPKJX2DWQBA0XP&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_25&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFZ9HCPPKJX2DW.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Espoir,Rs.499,Rs.2995,https://www.flipkart.com/espoir-es109-chronograph-pattern-combo-3-watches-analog-watch-men/p/itm3b363cb80ecf5?pid=WATESF6ZQFH7P2CY&lid=LSTWATESF6ZQFH7P2CY3JDVGB&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_26&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATESF6ZQFH7P2CY.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
TIMEWEAR,Rs.659,Rs.3499,https://www.flipkart.com/timewear-1283greentw-military-series-analogue-digital-black-dial-watch-men-analog-digital/p/itmfg3zwggt9hhhu?pid=WATFG3KWHGKNF8PS&lid=LSTWATFG3KWHGKNF8PSZBMXMM&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_27&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFG3KWHGKNF8PS.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
HMTE,Rs.304,Rs.999,https://www.flipkart.com/hmte-hm-3172-day-date-series-analog-watch-men/p/itm82e230782d74b?pid=WATFUKBZHPWYKK3E&lid=LSTWATFUKBZHPWYKK3EK3M9YL&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_28&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFUKBZHPWYKK3E.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
LIMESTONE,Rs.331,Rs.2999,https://www.flipkart.com/limestone-ls2917-mesh-strap-all-black-avatar-day-date-functioning-quartz-analog-watch-boys/p/itm87eb65ac81106?pid=WATFUYQHTPFBUZZQ&lid=LSTWATFUYQHTPFBUZZQXWXTF2&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_29&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATFUYQHTPFBUZZQ.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Fogg,Rs.312,Rs.2599,https://www.flipkart.com/fogg-1140-br-brown-day-date-analog-watch-men/p/itmf4zhzge2c9nft?pid=WATF4ZDBHXGP6FGZ&lid=LSTWATF4ZDBHXGP6FGZACP3AL&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_30&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=en_5jXLYf4yLUJ1kyLHsHJL11JzNnTBO8m4K35A1ys3OhxhjH1H%2BLvqZCj0Ei97QtynqiO3w3d1PiRATpBq%2Bujz0Q%3D%3D&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
EDDY HAGER,Rs.339,Rs.2599,https://www.flipkart.com/eddy-hager-eh-226-bk-black-day-date-analog-watch-men/p/itmf7uq4uvuqkn9h?pid=WATF7UHDJCFEHYFY&lid=LSTWATF7UHDJCFEHYFYE3KIMI&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_31&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATF7UHDJCFEHYFY.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
Fogg,Rs.284,Rs.1599,https://www.flipkart.com/fogg-2047-wh-day-date-analog-watch-men/p/itmf3zhhsczmyggk?pid=WATF2G59ETJHM8NH&lid=LSTWATF2G59ETJHM8NHOTWHFC&marketplace=FLIPKART&store=r18%2Ff13&srno=b_1_32&otracker=hp_omu_Deals%2Bof%2Bthe%2BDay_2_4.dealCard.OMU_A5N6E83IL3KE_3&otracker1=hp_omu_SECTIONED_manualRanking_neo%2Fmerchandising_Deals%2Bof%2Bthe%2BDay_NA_dealCard_cc_2_NA_view-all_3&fm=organic&iid=130b109c-9301-48a5-ad17-301e78169fe6.WATF2G59ETJHM8NH.SEARCH&ppt=None&ppn=None&ssid=ezlqn15umo0000001622354920763
